通番	文番号	単語	標準ペルシア語１	標準ペルシア語２	標準ペルシア語3	標準ペルシア語４
1411	4026	پشتبومشنو	پشت	بام	آنها	را
5082	3004	بزاش	بز	ها	او	
5047	2060	پنجه هاش	پنجه	ها	او	
1153	3036	دندوناش	دندان	ها	او	
4025	5049	دوستاش	دوست	ها	او	
1443	4033	لباش	لب1	ها	او	
3793	4034	لباش	لب1	ها	او	
3354	3009	مادرشونه	مادر	آنها	بودن	
3590	4004	مادرتام	مادر	تو	بودن	
3604	4008	مامان تام	مامان	تو	بودن	
3625	4014	مامان تام	مامان	تو	بودن	
2886	2013	چجوریه	چه	جوری	بودن	
539	2014	چجوریه	چه	جوری	بودن	
3839	4042	پاشو	پا	او	را	
5030	2058	چشمشو	چشم	او	را	
5031	2058	چشمشو	چشم	او	را	
6132	9009	دیگشو	دیگر	او	را	
3198	2054	شاخاشو	شاخ	او	را	
1120	3029	کولشو	کول	او	را	
4413	9011	بچشم	بچه	او	هم	
4411	9011	بعدشم	بعد	او	هم	
5956	2060	پنجه هاشم	پنجه	او	هم	
3787	4033	قورت	قورت	ぐっと飲むこと		
4032	5050	وا	را	از		
35	1005	تو ش	تو	آن		
5964	2062	باندازه	به	اندازه		
1233	3043	خونشون	خانه	آنها		
1236	3044	خونشون	خانه	آنها		
4892	2023	خونشون	خانه	آنها		
6257	10004	زندگیشون	زندگی	آنها		
6253	10004	شکارهاشان	شکار	آنها		
4858	2015	مامانشون	مامان	آنها		
1810	5055	ارتفاعش	ارتفاع	او		
1588	5014	ازش	از	او		
439	2003	اسمش	اسم	او		
1226	3043	بچه هاش	بچه	او		
3536	3044	بچه هاش	بچه	او		
4812	2005	بچهاش	بچه	او		
6220	2062	بدنش	بدن	او		
6176	1033	براش	برای	او		
2781	1055	میبرنش	بردن	او		
2004	7004	بزرگش	بزرگ	او		
216	1029	بغلش	بغل	او		
1899	6005	بهش	به	او		
410	1055	هستش	بودن	او		
6191	2021	پاش	پا	او		
3052	2036	پاش	پا	او		
4880	2021	پاشو	پا	او		
4928	2032	پاشو	پا	او		
4417	9012	پدرش	پدر	او		
289	1033	توش	تو	او		
823	2056	توش	تو	او		
832	2057	توش	تو	او		
6048	5020	تورش	تور	او		
5593	7005	چیزش	چیز	او		
2626	1031	حقیقتش	حقیقت	او		
4619	1003	حیاطش	حیاط	او		
4792	1055	خانه اش	خانه	او		
