通番	文番号	単語	標準ペルシア語１	意味１	標準ペルシア語２	意味２	標準ペルシア語3	意味３	標準ペルシア語４	意味４
1411	4026	پشتبومشنو	پشت	・・・の後ろに	بام	屋根	آنها	彼ら	را	・・・を
5082	3004	بزاش	بز	山羊	ها	名詞複数形語尾	او	あれ、それ		
5047	2060	پنجه هاش	پنجه	かぎつめ	ها	名詞複数形語尾	او	あれ、それ		
1153	3036	دندوناش	دندان	歯	ها	名詞複数形語尾	او	あれ、それ		
4025	5049	دوستاش	دوست	友人	ها	名詞複数形語尾	او	あれ、それ		
1443	4033	لباش	لب1	端	ها	名詞複数形語尾	او	あれ、それ		
3793	4034	لباش	لب1	端	ها	名詞複数形語尾	او	あれ、それ		
3354	3009	مادرشونه	مادر	母	آنها	彼ら	بودن	・・・である		
3590	4004	مادرتام	مادر	母	تو	お前	بودن	・・・である		
3604	4008	مامان تام	مامان	ママ	تو	お前	بودن	・・・である		
3625	4014	مامان تام	مامان	ママ	تو	お前	بودن	・・・である		
2886	2013	چجوریه	چه	なに	جوری	類別	بودن	・・・である		
539	2014	چجوریه	چه	なに	جوری	類別	بودن	・・・である		
3839	4042	پاشو	پا	足	او	あれ、それ	را	・・・を		
5030	2058	چشمشو	چشم	目	او	あれ、それ	را	・・・を		
5031	2058	چشمشو	چشم	目	او	あれ、それ	را	・・・を		
6132	9009	دیگشو	دیگر	さらに	او	あれ、それ	را	・・・を		
3198	2054	شاخاشو	شاخ	角	او	あれ、それ	را	・・・を		
1120	3029	کولشو	کول	肩	او	あれ、それ	را	・・・を		
4413	9011	بچشم	بچه	子供	او	あれ、それ	هم	・・もまた		
4411	9011	بعدشم	بعد	後に	او	あれ、それ	هم	・・もまた		
5956	2060	پنجه هاشم	پنجه	かぎつめ	او	あれ、それ	هم	・・もまた		
3787	4033	قورت	قورت	ぐっと飲むこと						
4032	5050	وا	را	・・・を	از	（場所）・・・から				
35	1005	تو ش	تو	・・・の中に	آن	あれ				
5964	2062	باندازه	به	・・・に	اندازه	寸法				
1233	3043	خونشون	خانه	家	آنها	彼ら				
1236	3044	خونشون	خانه	家	آنها	彼ら				
4892	2023	خونشون	خانه	家	آنها	彼ら				
6257	10004	زندگیشون	زندگی	生	آنها	彼ら				
6253	10004	شکارهاشان	شکار	狩猟	آنها	彼ら				
4858	2015	مامانشون	مامان	ママ	آنها	彼ら				
1810	5055	ارتفاعش	ارتفاع	高さ	او	あれ、それ				
1588	5014	ازش	از	（場所）・・・から	او	あれ、それ				
439	2003	اسمش	اسم	名前	او	あれ、それ				
1226	3043	بچه هاش	بچه	子供	او	あれ、それ				
3536	3044	بچه هاش	بچه	子供	او	あれ、それ				
4812	2005	بچهاش	بچه	子供	او	あれ、それ				
6220	2062	بدنش	بدن	体	او	あれ、それ				
6176	1033	براش	برای	・・・のために	او	あれ、それ				
2781	1055	میبرنش	بردن	持って行く	او	三人称単数人称代名詞（彼、彼女）				
2004	7004	بزرگش	بزرگ	大きい	او	あれ、それ				
216	1029	بغلش	بغل	…のそばに（で）	او	三人称単数人称代名詞（彼、彼女）				
1899	6005	بهش	به	・・・に	او	あれ、それ				
410	1055	هستش	بودن	・・・である	او	あれ、それ				
6191	2021	پاش	پا	足	او	あれ、それ				
3052	2036	پاش	پا	足	او	あれ、それ				
4880	2021	پاشو	پا	足	او	あれ、それ				
4928	2032	پاشو	پا	足	او	あれ、それ				
4417	9012	پدرش	پدر	父	او	あれ、それ				
289	1033	توش	تو	・・・の中に	او	あれ、それ				
823	2056	توش	تو	・・・の中に	او	あれ、それ				
832	2057	توش	تو	・・・の中に	او	あれ、それ				
6048	5020	تورش	تور	網	او	あれ、それ				
5593	7005	چیزش	چیز	もの	او	あれ、それ				
2626	1031	حقیقتش	حقیقت	真実	او	あれ、それ				
4619	1003	حیاطش	حیاط	中庭	او	三人称単数人称代名詞（彼、彼女）				
4792	1055	خانه اش	خانه	家	او	三人称単数人称代名詞（彼、彼女）				
3554	3047	خونش	خانه	家	او	あれ、それ				
2808	2004	خونش	خانه	家	او	あれ、それ				
923	2063	خونش	خانه	家	او	あれ、それ				
3309	2064	خونش	خانه	家	او	あれ、それ				
2951	2022	خونشو	خانه	家	او	あれ、それ				
