通番	文番号	単語	標準ペルシア語１	標準ペルシア語２	標準ペルシア語3	標準ペルシア語４
1411	4026	pštbwmšnw	pšt	bam	ānea	ra
5082	3004	bzaš	bz	ea	aw	
5047	2060	pnje eaš	pnje	ea	aw	
1153	3036	dndwnaš	dndan	ea	aw	
4025	5049	dwstaš	dwst	ea	aw	
1443	4033	lbaš	lb1	ea	aw	
3793	4034	lbaš	lb1	ea	aw	
3354	3009	madršwne	madr	ānea	bwdn	
3590	4004	madrtam	madr	tw	bwdn	
3604	4008	maman tam	maman	tw	bwdn	
3625	4014	maman tam	maman	tw	bwdn	
2886	2013	čjwrye	če	jwry	bwdn	
539	2014	čjwrye	če	jwry	bwdn	
3839	4042	pašw	pa	aw	ra	
5030	2058	čšmšw	čšm	aw	ra	
5031	2058	čšmšw	čšm	aw	ra	
6132	9009	dygšw	dygr	aw	ra	
3198	2054	šaxašw	šax	aw	ra	
1120	3029	kwlšw	kwl	aw	ra	
4413	9011	bčšm	bče	aw	em	
4411	9011	b'dšm	b'd	aw	em	
5956	2060	pnje eašm	pnje	aw	em	
3787	4033	ŕwrt	ŕwrt	ぐっと飲むこと		
4032	5050	wa	ra	az		
35	1005	tw š	tw	ān		
5964	2062	bandaze	be	andaze		
1233	3043	xwnšwn	xane	ānea		
1236	3044	xwnšwn	xane	ānea		
4892	2023	xwnšwn	xane	ānea		
6257	10004	zndgyšwn	zndgy	ānea		
6253	10004	škareašan	škar	ānea		
4858	2015	mamanšwn	maman	ānea		
1810	5055	artfa'š	artfa'	aw		
1588	5014	azš	az	aw		
439	2003	asmš	asm	aw		
1226	3043	bče eaš	bče	aw		
3536	3044	bče eaš	bče	aw		
4812	2005	bčeaš	bče	aw		
6220	2062	bdnš	bdn	aw		
6176	1033	braš	bray	aw		
2781	1055	mybrnš	brdn	aw		
2004	7004	bzrgš	bzrg	aw		
216	1029	bqlš	bql	aw		
1899	6005	beš	be	aw		
410	1055	estš	bwdn	aw		
6191	2021	paš	pa	aw		
3052	2036	paš	pa	aw		
4880	2021	pašw	pa	aw		
4928	2032	pašw	pa	aw		
4417	9012	pdrš	pdr	aw		
289	1033	twš	tw	aw		
823	2056	twš	tw	aw		
832	2057	twš	tw	aw		
6048	5020	twrš	twr	aw		
5593	7005	čyzš	čyz	aw		
